,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
638,MokaFive,_Series_C,18,7,21000000,Physicians,163,263,152,0.110429447853,0.0429447852761,0.920245398773,0.171779141104,112.288343558,0.852760736196,0.171779141104,0.717791411043,0.0552147239264,0.171779141104,0.384998556504,0.301225752091,1.14385958676,0.409683588002,29.3702889947,1.00758315427,0.409683588002,0.490769142555,0.229102751823,0.378350742372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0408299668168,0.0556234883537,0.0526315789474,0.0,2.95847442861,3.19217663298,5.31511622771,6.93055699572,5.5620183959,0.0876302796757,0.0404659514812,0.503678272997,0.142013966419,10.6959967537,0.473490106962,0.141497898765,0.696221915593,0.0447329275718,0.0806017460835,0.256249255623,0.235910072614,0.587489176527,0.354220912882,1.60150326142,0.546229901443,0.357564441448,1.50666545344,0.205419134261,0.253735081909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146929698991,0.0,0.0246812066982,0.0369578142637,0.027117560909,0.0,16.8600329957
639,Mongolab,_Series_B,63,147,5000000,K-12 Education,173,66,23,0.364161849711,0.849710982659,1.63583815029,0.791907514451,117.329479769,1.5838150289,0.768786127168,0.612716763006,0.439306358382,0.109826589595,0.739491510825,1.55909276979,1.60677671613,1.05793972253,34.2899927477,1.58120259297,1.04756485365,0.534028258558,0.50928995695,0.313581104802,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0300020115908,0.0449683803644,0.0181818181818,0.0181818181818,4.18692083269,15.2626247069,5.37940141558,4.94727011418,3.38499994499,0.189006277317,0.36855607687,0.665645740636,0.397223052973,10.8843204023,0.63871680058,0.386895177034,0.59656994822,0.130927945927,0.0653737549262,0.372810210413,0.647059559627,0.693097611485,0.77078489497,1.62617078957,0.684274490691,0.780374729535,1.80128039021,0.408203282231,0.223125152297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0205037935811,0.0321230123862,0.0141276817905,0.016568335138,15.4249484704
640,Morphlabs,_Series_C,9,68,5000000,Hospitality,179,119,67,0.0502793296089,0.379888268156,1.26815642458,0.631284916201,126.620111732,1.23463687151,0.631284916201,0.826815642458,0.156424581006,0.156424581006,0.243424607454,0.874635069214,1.47474715338,0.964728536275,26.4641126087,1.46522470455,0.964728536275,0.408004770545,0.364276346913,0.364276346913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0335666937229,0.0536306141775,0.0,0.0166666666667,2.31116242584,10.7034570378,5.41624958515,5.76521340585,4.58944407857,0.0450603648367,0.243094446597,0.594118311184,0.353196591289,11.2173361936,0.572610521691,0.349569242415,0.798952139199,0.0909187137859,0.0776101947516,0.185150652328,0.486808552692,0.666449148367,0.718209714127,1.58387109438,0.660878639134,0.731757707309,1.04313001458,0.30866489452,0.247394916743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146929698991,0.0,0.0220135931597,0.0361125710444,0.0,0.0153033528983,15.4249484704
641,Mosaic,_Series_A,3,28,3500000,Geospatial,209,0,0,0.0143540669856,0.133971291866,0.287081339713,0.401913875598,107.023923445,0.210526315789,0.392344497608,0.727272727273,0.00478468899522,0.0,0.154374323403,0.65870211776,0.566598825386,1.10557858688,38.9029166634,0.503530048876,1.10468354152,0.477647205735,0.0691714463866,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0484034082812,0.0639109785788,0.0306748466258,0.0552147239264,1.38940037398,6.91996948844,5.58405247177,0.0,0.0,0.0139009879426,0.1122685279,0.227676145196,0.268599551014,10.4930374727,0.1755600701,0.262414258718,0.70518220083,0.0046938342378,0.0,0.128827171669,0.411227413164,0.383847646035,0.796905297968,1.64497654387,0.352706116563,0.8130277266,1.42480640485,0.0667928612451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0269684580536,0.0402098788925,0.0203371655029,0.0421437681451,15.0682735265
642,Mosaic,_Series_B,62,43,8500000,Geospatial,210,0,0,0.352380952381,0.204761904762,0.457142857143,0.552380952381,112.457142857,0.385714285714,0.52380952381,0.642857142857,0.0285714285714,0.0,1.2677897912,0.649605099383,0.738919053113,1.05341506499,35.3791571034,0.690874014291,1.03151524254,0.527766285605,0.166996711261,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0406900838102,0.04997798134,0.020979020979,0.111888111888,4.17096006531,8.58213942261,5.58923042585,0.0,0.0,0.186049208289,0.157764660198,0.323290539251,0.327486427441,10.7023954934,0.282766512746,0.314521247646,0.625222038766,0.0255490580316,0.0,0.465848829002,0.407642729498,0.456733125105,0.768278335023,1.63093582884,0.436263839855,0.771074295149,1.75618618833,0.153948221878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0246345228384,0.034494783312,0.0157162316826,0.0669870982199,15.9555767215
644,Movableink,_Series_B,28,111,11000000,Virtualization,158,156,51,0.177215189873,0.70253164557,1.73417721519,0.335443037975,127.917721519,1.59493670886,0.303797468354,0.575949367089,0.53164556962,0.170886075949,0.570160189154,1.38926500144,1.40706914764,0.614171903711,46.336345145,1.42783063227,0.583301178168,0.520831082529,0.500584194716,0.377606238051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0219715819992,0.0586020120946,0.0,0.107843137255,3.38566043798,13.4397876606,5.28151247351,6.15467863063,4.274467983,0.124170208615,0.339606596518,0.681772963188,0.237413178631,11.2624990684,0.640544153506,0.219900150363,0.561542521961,0.134788036084,0.0804391236063,0.325435396529,0.615257398851,0.651821361047,0.500106982589,1.6692161635,0.652924453526,0.485177426891,1.70723390562,0.402514098,0.253403795872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0165267947981,0.0381741022104,0.0,0.0656256803228,16.2134058308
647,MyCheck,_Series_A,21,53,4200000,-,210,52,22,0.1,0.252380952381,0.704761904762,0.547619047619,83.119047619,0.504761904762,0.528571428571,0.32380952381,0.047619047619,0.142857142857,0.3007168469,0.477352194233,0.840640101565,1.47389372921,40.0791097974,0.665252544395,1.47113953721,0.469046433572,0.213467717984,0.350763253316,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0312240510563,0.0594124081661,0.030303030303,0.0454545454545,3.10651278974,9.50213608599,5.58923042585,4.62829311976,3.33682012147,0.0809902956682,0.18434235616,0.430917456693,0.325833170736,9.4737922205,0.342030513294,0.316203158461,0.318917359381,0.0396595078794,0.074586438146,0.216290727741,0.332102124804,0.494203389004,0.983985687725,1.64925136729,0.425800143318,1.00777966757,1.37294971477,0.192720782676,0.241150192372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0210376017896,0.0384955833227,0.0201824389995,0.0362981821555,15.2505950833
648,MyCheck,_Series_B,68,62,5000000,-,162,95,51,0.549382716049,0.493827160494,0.820987654321,0.216049382716,82.2037037037,0.740740740741,0.216049382716,0.345679012346,0.00617283950617,0.148148148148,1.92419207579,1.58896393284,1.1415600146,0.565236561288,45.6427035101,1.15050923403,0.565236561288,0.477063841377,0.0785674201318,0.35634832255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.027067449061,0.0691003472121,0.031746031746,0.0634920634921,4.26317004441,10.2442806696,5.30847686956,5.44778549912,4.274467983,0.223470805865,0.2839688074,0.472121524994,0.17088826497,9.43097536462,0.436626330482,0.170129360235,0.340140297408,0.00602224435162,0.0758115730015,0.525649193447,0.652253166891,0.586867647185,0.46663796246,1.66720513429,0.586555593367,0.472414274067,1.42124462166,0.0755171686333,0.24375024005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0191485429507,0.0420475632788,0.0207739250651,0.046677060126,15.4249484704
649,MyThings,_Series_C,12,10,6000000,Health And Safety,198,1315,440,0.0606060606061,0.121212121212,0.520202020202,0.227272727273,96.8888888889,0.484848484848,0.222222222222,0.313131313131,0.0858585858586,0.0,0.29610609356,1.17739044904,1.06016757587,0.497571397691,35.6837174798,1.0360373194,0.49475534754,0.464942868527,0.280865269653,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0170254445737,0.0730315439092,0.0212765957447,0.0851063829787,2.5755957193,3.94914169819,5.52543745738,9.53027823683,6.87917667287,0.0531552971441,0.10319171298,0.353738930818,0.177810469949,10.0821629336,0.3327460378,0.173919536341,0.308541628623,0.0624776389234,0.0,0.213913396303,0.56918833229,0.564104614576,0.418916644863,1.63222970257,0.55464780871,0.421512208043,1.34869917259,0.246290563703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146929698991,0.0,0.0136145335981,0.0433469730205,0.0158778638257,0.0569204273685,15.6072700272
652,Namely,_Series_A,112,110,3400000,Genetic Testing,212,1,1,0.528301886792,0.650943396226,0.400943396226,0.292452830189,121.820754717,0.377358490566,0.287735849057,0.198113207547,0.0,0.0,1.16185459825,1.73091463004,0.915686910526,0.599636242531,32.249706173,0.886473712745,0.597974912722,0.399521308847,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0494334633077,0.0734952970989,0.0588235294118,0.117647058824,4.7636370208,13.3843295697,5.59951429238,0.711572489145,0.702672319005,0.220458435684,0.32769129953,0.294047139177,0.215165059313,11.047482106,0.278242249285,0.211412017632,0.196208360397,0.0,0.0,0.451742379683,0.675492835293,0.519644247074,0.490253241595,1.61661480525,0.507959016021,0.495463024416,1.00225725507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0272458705918,0.0434952545124,0.0283905994116,0.0688382939379,15.0392859896
