,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
616,Mig33,_Series_C,8,7,8900000,Marketplace Lender,200,11,6,0.04,0.035,0.645,0.225,99.11,0.6,0.21,0.415,0.115,0.0,0.262190233596,0.209749791119,0.95052220506,0.59678788434,45.2764584353,0.924268011339,0.589608506515,0.493958474848,0.377475081543,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0351635328556,0.0350210603265,0.0454545454545,0.00757575757576,2.19400396038,3.20036504138,0.0963244043915,2.72525669008,2.01266845251,0.0366054944737,0.0333312334167,0.409235574615,0.175832107678,7.49047987178,0.385089115865,0.165953753538,0.408379197366,0.0756119174991,0.0,0.195362779148,0.175830376637,0.53582307387,0.48088240743,1.64709181291,0.524125678596,0.482985506051,1.46545838359,0.312602629989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.022782232835,0.0266299512857,0.0254151832151,0.00728845692634,16.0015618347
617,Mimecast,_Series_C,5,74,62000000,Software,169,35,15,0.0295857988166,0.437869822485,0.769230769231,0.402366863905,122.573964497,0.733727810651,0.402366863905,0.781065088757,0.165680473373,0.147928994083,0.169945211863,0.949929925787,1.08562029668,0.709791440086,32.6557919317,1.07187461365,0.709791440086,0.44252662204,0.37289845057,0.356084653759,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0320071152921,0.05601026214,0.00719424460432,0.0719424460432,1.78961742738,11.2051833375,0.0963244043915,4.09747111855,2.90942864105,0.0276942956903,0.264576820267,0.456371938126,0.267356349329,8.02174064627,0.436387490193,0.265677447828,0.759755412847,0.0930801981232,0.074815382012,0.139275625829,0.509823695684,0.577193244889,0.553346160871,1.60105239333,0.569486693107,0.562597271603,1.17746008079,0.30943152985,0.240882170678,0.0,0.0262555757788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0214905704666,0.0367005982788,0.00649428641671,0.0511747690206,17.942644943
618,MindMixer,_Series_A,12,86,1900000,China Internet,177,442,138,0.0677966101695,0.485875706215,0.672316384181,0.581920903955,112.627118644,0.627118644068,0.576271186441,0.74011299435,0.101694915254,0.0,0.273720584534,0.923846606664,1.08448340834,0.914100858807,33.5038489843,1.05364580933,0.914592367543,0.464936443238,0.303104125574,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0267757291496,0.044696974917,0.0,0.0825688073394,2.56056125548,12.0233419614,0.0963244043915,7.67938525377,5.37905874612,0.0585003386541,0.280869586332,0.420144286731,0.335094127713,7.80738269351,0.396131351684,0.330521038723,0.720787637742,0.069860597713,0.0,0.201650245921,0.502137348444,0.576864036765,0.674228653005,1.60493477902,0.564186685353,0.688222176671,1.29740375381,0.259506812889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204031031258,0.0,0.0,0.0,0.0190995928007,0.0316906815134,0.0,0.0561148985974,14.4573644441
619,MindMixer,_Series_C,113,122,17000000,China Internet,207,105,53,0.545893719807,0.589371980676,0.608695652174,0.555555555556,125.874396135,0.584541062802,0.555555555556,0.811594202899,0.130434782609,0.0,1.12196518313,1.19077485248,0.943306382463,0.815835717541,36.5961119413,0.93026390295,0.815835717541,0.427524903681,0.337597600915,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0190275700613,0.0348711910985,0.0116279069767,0.0639534883721,4.72125126131,14.1260826442,0.0963244043915,5.55828213298,4.27629776802,0.22131172623,0.311337518584,0.394218445713,0.326338941969,8.08980072379,0.378635795355,0.323736466625,0.788754000196,0.0816191389087,0.0,0.443538352006,0.572756778858,0.533477483769,0.617592218733,1.61794132985,0.526083211679,0.629103278931,1.10170232597,0.284555355594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0148932181151,0.0265452409142,0.00987482269501,0.0471143537563,16.648723902
620,Mintigo,_Series_C,67,61,10000000,-,155,106,49,0.496774193548,0.625806451613,1.21935483871,0.632258064516,117.496774194,1.2,0.612903225806,0.767741935484,0.522580645161,0.167741935484,1.22407767318,1.93447327338,1.00175798554,0.918916321379,41.3926987403,1.00259403808,0.900123344897,0.438701668278,0.501108950372,0.374848104972,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0197694822089,0.0573865743265,0.0,0.0487804878049,4.20764119404,10.2226346348,0.0963244043915,5.57149685405,4.18810727321,0.214055148061,0.320769740249,0.586449523774,0.350853658028,7.91413205414,0.568956142686,0.341990026765,0.747086550597,0.132820037353,0.0787715132887,0.457612028213,0.705840799689,0.55206656267,0.676937471692,1.63517877751,0.548906652689,0.679719909423,1.15780607145,0.3939503305,0.249214208208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0153343752702,0.037251293444,0.0,0.0384798585116,16.118095651
626,Mixamo,_Series_B,48,92,3700000,Real Estate Investors,154,102,41,0.311688311688,0.714285714286,0.688311688312,0.467532467532,113.337662338,0.649350649351,0.461038961039,0.772727272727,0.0779220779221,0.149350649351,1.01311324054,2.08233869814,1.38865374463,0.809815852293,33.0893464243,1.38400039448,0.793215651867,0.530417609216,0.268923478011,0.357596689835,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0217234913561,0.117122775328,0.016393442623,0.286885245902,3.88172385655,12.4066264617,0.0963244043915,5.51793305008,3.98917726511,0.173969267045,0.341341370132,0.426383156131,0.294291180921,7.8231850766,0.404929256625,0.289707607238,0.751828039656,0.0580563265161,0.0751247867243,0.426498680805,0.725159578506,0.655388397546,0.614035154194,1.60305561715,0.649361178173,0.615190609297,1.69837704755,0.233920636427,0.241564732368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0164555737511,0.0526930786324,0.0130595136282,0.0972356745394,15.1238433776
627,Mixbook,_Series_A,6,0,800000,Big Data Analytics,159,638,201,0.0377358490566,0.0,0.421383647799,0.0125786163522,91.4716981132,0.421383647799,0.0062893081761,0.358490566038,0.0377358490566,0.0566037735849,0.191158773322,0.0,0.520268282773,0.111798948368,32.5679059464,0.520268282773,0.0793051585718,0.481072363144,0.191158773322,0.231814062845,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0298525808682,0.0627110013829,0.0,0.1,1.94338385261,0.0,0.0963244043915,8.25939391888,5.82504052977,0.0347027202196,0.0,0.305775759898,0.0123876733402,7.29587287788,0.302526636964,0.0062404363875,0.353468751028,0.0325376514299,0.0423351243693,0.153159935912,0.0,0.364026127302,0.106631109997,1.60064151143,0.362618278232,0.0768340906245,1.38901386251,0.172627627812,0.177167390824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204031031258,0.0,0.0,0.0,0.0205454897816,0.0392731813574,0.0,0.0632129846442,13.5923670067
628,Mixbook,_Series_B,0,9,10000000,Big Data Analytics,171,11,6,0.0,0.0526315789474,0.619883040936,0.713450292398,114.81871345,0.59649122807,0.690058479532,0.836257309942,0.105263157895,0.0994152046784,0.0,0.223952670807,0.744755773869,1.06538881145,39.5848589679,0.740261856439,1.02490487196,0.386653855522,0.307793505626,0.300097450059,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0345202664399,0.0297988387274,0.0,0.0119047619048,0.0,3.72341916671,0.0963244043915,2.72525669008,2.01266845251,0.0,0.0489383916707,0.398911127262,0.373906823566,7.85587139582,0.383634678662,0.364140955024,0.812149312005,0.0714587548738,0.0612299874283,0.0,0.185712346591,0.462591908317,0.756588650237,1.6290481045,0.458513316148,0.75136064883,0.912628877079,0.262956722409,0.214139017844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0225275818983,0.0235544695853,0.0,0.0112065188326,16.118095651
631,Moat,_Series_B,8,38,12000000,Curated Web,186,1,0,0.0430107526882,0.284946236559,0.494623655914,0.301075268817,88.3172043011,0.47311827957,0.295698924731,0.150537634409,0.0,0.00537634408602,0.325957334121,1.32725656792,0.758713789486,0.732045578799,35.9560005101,0.751091427111,0.730555357578,0.3585627936,0.0,0.0733235575107,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.020066057561,0.0401600805482,0.0161290322581,0.0161290322581,2.19400396038,8.1129869899,0.0963244043915,0.711033315584,0.0,0.0391066281876,0.200676699754,0.3427497903,0.218832973392,7.21171670539,0.328372482981,0.214934746807,0.149593071261,0.0,0.005220668927,0.228399352286,0.603044566169,0.468014117181,0.567115231559,1.61538583196,0.462699270386,0.575881753952,0.796389125843,0.0,0.0668865541831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0140029729141,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0155083098219,0.0294149584474,0.0128939598021,0.0148669209526,16.3004172078
632,MobStac,_Series_B,33,49,2000000,Proximity Services,195,56,31,0.276923076923,0.558974358974,1.17948717949,0.271794871795,111.912820513,1.15897435897,0.25641025641,0.820512820513,0.102564102564,0.148717948718,1.72167227781,4.77540509151,1.08579855339,0.748176035693,44.7927367748,1.08426371728,0.722179858725,0.384747532149,0.30416963143,0.356726088913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0321425485107,0.0451401114021,0.0295857988166,0.0355029585799,3.51806990866,9.19635945634,0.0963244043915,4.70499660082,3.68128924839,0.163240414065,0.302983679814,0.57690733544,0.203027169583,7.79141656902,0.559458178121,0.193511098595,0.797217369141,0.0702537859875,0.0749876079317,0.507629661331,0.912500391351,0.577244835137,0.576997989499,1.64569257544,0.573043627552,0.570539096296,0.904399836372,0.260291944059,0.241171968786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0215482122298,0.0319042755225,0.0199209752302,0.029793633896,14.5086577385
